,,Male,,,,,,,,,,Female,,,,,,,,,
,,"Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",,,,,,,,,,"Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",,,,,,,,,
Age (AGEP),Total,"Total Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,"Total Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
 -> Total,189286,89981,72216,5821,87,1,57,7016,31,2776,1976,99305,79566,6544,86,3,50,8117,38,2786,2115
" -> Total -> Total Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities) PUMA; Massachusetts",4847,2595,2315,116,2,0,0,41,0,77,44,2252,2144,16,3,0,0,52,2,8,27
18 years,67,36,35,1,0,0,0,0,0,0,0,31,28,1,1,0,0,0,0,1,0
19 years,39,28,26,0,0,0,0,0,0,1,1,11,10,0,0,0,0,0,0,0,1
20 years,59,32,30,0,0,0,0,1,0,0,1,27,23,1,0,0,0,0,0,0,3
21 years,48,27,25,1,0,0,0,1,0,0,0,21,20,0,0,0,0,0,0,0,1
22 years,54,32,28,1,0,0,0,2,0,0,1,22,21,0,0,0,0,0,0,0,1
23 years,59,34,31,2,0,0,0,0,0,1,0,25,24,0,0,0,0,0,0,1,0
24 years,59,42,34,4,0,0,0,2,0,2,0,17,16,0,0,0,0,0,0,0,1
25 years,63,46,36,5,0,0,0,1,0,3,1,17,15,0,1,0,0,1,0,0,0
26 years,76,49,31,6,0,0,0,1,0,7,4,27,25,0,0,0,0,0,0,0,2
27 years,66,42,33,5,0,0,0,0,0,2,2,24,23,1,0,0,0,0,0,0,0
28 years,64,42,39,3,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0
29 years,74,47,35,6,0,0,0,0,0,5,1,27,27,0,0,0,0,0,0,0,0
30 years,55,35,29,3,0,0,0,0,0,3,0,20,20,0,0,0,0,0,0,0,0
31 years,62,39,27,5,0,0,0,0,0,3,4,23,22,0,0,0,0,1,0,0,0
32 years,57,28,17,5,0,0,0,1,0,3,2,29,25,1,0,0,0,2,0,0,1
33 years,63,33,25,3,0,0,0,0,0,4,1,30,30,0,0,0,0,0,0,0,0
34 years,69,44,30,3,0,0,0,2,0,7,2,25,24,0,0,0,0,1,0,0,0
35 years,69,36,30,1,0,0,0,0,0,2,3,33,31,0,0,0,0,2,0,0,0
36 years,73,40,31,3,0,0,0,1,0,4,1,33,25,1,0,0,0,5,0,1,1
37 years,81,49,38,6,0,0,0,3,0,2,0,32,31,1,0,0,0,0,0,0,0
38 years,61,31,25,2,0,0,0,0,0,3,1,30,25,1,0,0,0,3,0,1,0
39 years,50,32,26,2,0,0,0,1,0,1,2,18,17,0,0,0,0,1,0,0,0
40 years,66,38,28,1,0,0,0,2,0,4,3,28,26,0,0,0,0,1,0,0,1
41 years,73,38,29,4,0,0,0,3,0,2,0,35,31,1,0,0,0,3,0,0,0
42 years,69,35,24,6,0,0,0,1,0,2,2,34,32,0,0,0,0,1,0,0,1
43 years,72,37,32,2,0,0,0,2,0,1,0,35,33,1,0,0,0,1,0,0,0
44 years,70,40,36,0,0,0,0,2,0,1,1,30,27,1,0,0,0,1,0,0,1
45 years,87,50,43,5,1,0,0,0,0,0,1,37,32,0,0,0,0,2,0,0,3
46 years,68,31,26,1,0,0,0,1,0,3,0,37,33,0,0,0,0,4,0,0,0
47 years,99,49,47,1,0,0,0,1,0,0,0,50,49,0,0,0,0,0,0,1,0
48 years,100,57,55,0,0,0,0,0,0,1,1,43,41,1,0,0,0,0,0,0,1
49 years,100,42,37,3,0,0,0,0,0,2,0,58,55,1,0,0,0,1,1,0,0
50 years,97,43,41,0,0,0,0,0,0,2,0,54,53,0,0,0,0,1,0,0,0
51 years,95,50,49,1,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0
52 years,98,41,38,2,0,0,0,1,0,0,0,57,54,0,0,0,0,2,0,1,0
53 years,105,52,48,3,0,0,0,0,0,1,0,53,49,0,1,0,0,1,0,0,2
54 years,117,71,66,1,0,0,0,1,0,0,3,46,45,0,0,0,0,0,0,0,1
55 years,94,47,45,2,0,0,0,0,0,0,0,47,46,0,0,0,0,1,0,0,0
56 years,107,58,55,1,0,0,0,0,0,1,1,49,47,1,0,0,0,0,0,0,1
57 years,126,70,69,0,0,0,0,1,0,0,0,56,52,0,0,0,0,3,0,0,1
58 years,113,54,51,2,0,0,0,1,0,0,0,59,57,0,0,0,0,0,1,1,0
59 years,122,66,63,1,0,0,0,1,0,1,0,56,55,0,0,0,0,1,0,0,0
60 years,110,62,59,1,0,0,0,0,0,2,0,48,46,0,0,0,0,2,0,0,0
61 years,95,43,43,0,0,0,0,0,0,0,0,52,51,0,0,0,0,0,0,1,0
62 years,112,61,59,1,0,0,0,1,0,0,0,51,45,0,0,0,0,3,0,0,3
63 years,100,57,56,0,0,0,0,1,0,0,0,43,43,0,0,0,0,0,0,0,0
64 years,99,47,40,3,0,0,0,2,0,0,2,52,50,0,0,0,0,1,0,0,1
65 years,97,55,55,0,0,0,0,0,0,0,0,42,40,1,0,0,0,1,0,0,0
66 years,84,40,39,0,0,0,0,0,0,1,0,44,44,0,0,0,0,0,0,0,0
