Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019,,,,,,,,,,,,,,,,,,,,,
Weight used: null,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Worcester & Middlesex Count..., Middlesex County (Outside L..., Middlesex County (Far North..., Middlesex County--Waltham C..., Middlesex County (South)--F..., Middlesex County--Watertown..., Middlesex County (East)--Ca..., Middlesex County (East)--So..., Middlesex County (East)--Ma..., Essex County (Northwest)--L..., Essex County (Central)--Ame..., Essex County (East)--Salem,..., Essex County (South)--Lynn ..., Peabody City, Danvers, Read..., Billerica, Andover, Tewksbu..., Middlesex (West Central) & ..., Middlesex (Far Southwest), ..., Woburn, Melrose Cities, Sau..., Boston City--Allston, Brigh..., Boston City--Back Bay, Beac..., Boston City--Dorchester & S..., Boston City--Mattapan & Rox..., Boston City--Hyde Park, Jam..., Suffolk County (North)--Rev..., Middlesex (Southeast) & Nor..., Norfolk (Northeast) & Middl..., Norfolk County (Southwest)-..., Norfolk County (Central)--R..., Norfolk County (Northeast)-..., Weymouth Town, Braintree To..., Plymouth & Norfolk Counties..., Attleboro City, North Attle..., Bristol (Outside New Bedfor..., Plymouth & Bristol Counties..., Plymouth County (Central) P..., Plymouth County (East)--Ply...; Age (AGEP): all except: Under 1 year, 1 Year, 2 Years, 3 Years, 4 Years, 5 Years, 6 Years, 7 Years, 8 Years, 9 Years, 10 years, 11 years, 12 years, 13 years, 14 years, 15 years, 16 years, 17 years",,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,Female,,,,,,,,,
,,"Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",,,,,,,,,,"Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",,,,,,,,,
Age,Total,"Total Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,"Total Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
 -> Total,189286,89981,72216,5821,87,1,57,7016,31,2776,1976,99305,79566,6544,86,3,50,8117,38,2786,2115
18 years,3830,1919,1412,176,2,0,3,168,0,89,69,1911,1315,198,1,0,3,224,0,84,86
19 years,3983,1952,1399,171,1,0,2,202,2,95,80,2031,1467,160,3,0,0,241,0,61,99
20 years,3621,1726,1250,132,1,0,2,185,0,78,78,1895,1327,192,3,0,1,209,6,73,84
21 years,3534,1752,1228,168,7,0,1,191,2,74,81,1782,1230,125,0,0,0,232,6,90,99
22 years,3156,1611,1182,132,1,0,1,171,0,71,53,1545,1093,142,2,0,0,197,0,43,68
23 years,3270,1603,1152,143,3,0,4,163,1,85,52,1667,1226,130,2,0,2,192,0,54,61
24 years,3289,1624,1176,144,0,0,1,177,1,74,51,1665,1218,133,1,0,0,190,2,58,63
25 years,3306,1699,1197,164,1,0,1,195,1,76,64,1607,1183,128,1,0,1,163,2,68,61
26 years,3373,1659,1201,120,0,0,1,181,2,96,58,1714,1245,135,2,0,1,203,1,70,57
27 years,3306,1631,1196,110,0,0,1,195,1,76,52,1675,1228,121,0,0,1,208,0,76,41
28 years,3180,1577,1217,102,4,0,4,148,0,57,45,1603,1199,105,1,1,1,183,1,66,46
29 years,3202,1609,1201,106,2,0,0,160,1,78,61,1593,1203,115,1,0,2,181,0,51,40
30 years,3219,1590,1204,112,3,0,1,153,0,61,56,1629,1236,115,0,0,0,172,1,53,52
31 years,3192,1571,1191,125,0,0,1,146,1,59,48,1621,1204,123,3,0,1,181,0,62,47
32 years,3088,1497,1104,105,0,0,2,174,2,61,49,1591,1179,116,2,0,0,181,1,62,50
33 years,3111,1498,1114,100,1,0,0,164,0,79,40,1613,1178,120,1,0,1,211,3,51,48
34 years,2823,1423,1034,124,0,0,0,141,0,70,54,1400,1056,83,1,0,1,169,0,58,32
35 years,2930,1476,1091,113,2,0,1,141,2,75,51,1454,1052,112,1,1,0,173,0,64,51
36 years,2788,1377,1011,111,1,0,0,163,1,46,44,1411,1030,102,1,0,0,180,0,58,40
37 years,2706,1352,996,109,0,0,1,143,1,55,47,1354,1023,99,0,0,1,156,0,41,34
38 years,2612,1212,926,97,0,0,0,98,0,56,35,1400,1034,101,2,0,1,158,1,59,44
39 years,2631,1289,968,100,1,0,1,131,0,51,37,1342,967,118,4,0,0,152,0,60,41
40 years,2732,1334,976,101,0,0,2,134,0,75,46,1398,1023,96,3,0,1,169,0,65,41
41 years,2681,1296,991,96,2,0,0,142,0,38,27,1385,1029,105,0,0,3,158,0,57,33
42 years,2599,1279,978,87,3,0,1,128,1,43,38,1320,975,113,2,0,0,158,0,45,27
43 years,2544,1236,942,93,1,0,1,133,0,43,23,1308,991,90,2,0,0,134,0,57,34
44 years,2812,1344,1026,86,8,0,0,145,0,53,26,1468,1129,102,2,0,0,161,0,42,32
45 years,2918,1421,1129,84,1,0,4,127,1,46,29,1497,1143,109,2,0,2,163,2,43,33
46 years,2890,1386,1112,72,3,0,0,127,1,45,26,1504,1170,108,2,0,1,137,1,59,26
47 years,2999,1449,1183,81,3,0,2,110,0,45,25,1550,1217,111,1,0,0,147,0,43,31
48 years,3047,1496,1216,81,0,0,0,109,1,59,30,1551,1229,115,2,0,1,129,0,48,27
49 years,3109,1471,1172,91,2,1,1,135,1,37,31,1638,1323,107,2,0,0,119,2,56,29
50 years,3346,1583,1283,87,1,0,2,119,1,55,35,1763,1427,116,3,0,0,129,0,55,33
51 years,3166,1529,1252,96,5,0,2,93,0,58,23,1637,1319,114,2,1,2,107,1,62,29
52 years,3339,1637,1349,104,1,0,0,105,0,46,32,1702,1420,95,1,0,1,114,0,51,20
53 years,3303,1599,1320,114,1,0,2,104,1,41,16,1704,1424,100,1,0,1,115,0,41,22
54 years,3434,1685,1429,81,0,0,1,99,1,37,37,1749,1424,124,2,0,1,120,1,48,29
55 years,3435,1619,1362,97,1,0,2,98,0,38,21,1816,1534,104,1,0,1,108,0,38,30
56 years,3438,1673,1444,89,1,0,0,89,1,29,20,1765,1500,97,1,0,1,101,0,41,24
57 years,3402,1651,1417,88,1,0,1,88,1,35,20,1751,1479,98,0,0,2,90,0,53,29
58 years,3371,1608,1377,91,1,0,0,88,1,31,19,1763,1497,109,2,0,0,100,1,33,21
59 years,3354,1606,1375,83,1,0,0,93,0,30,24,1748,1495,85,2,0,2,109,0,35,20
60 years,3274,1552,1342,81,3,0,0,77,0,29,20,1722,1435,138,1,0,0,97,0,33,18
61 years,3141,1546,1336,90,2,0,0,69,0,30,19,1595,1362,93,1,0,2,85,0,30,22
62 years,3145,1500,1289,93,1,0,0,73,0,30,14,1645,1394,80,2,0,1,102,1,44,21
63 years,3093,1434,1249,89,0,0,0,66,0,15,15,1659,1426,81,0,0,1,94,0,30,27
64 years,2893,1363,1166,81,0,0,1,70,0,30,15,1530,1335,80,2,0,1,85,0,15,12
65 years,2964,1447,1270,63,1,0,2,72,0,30,9,1517,1304,104,1,0,1,72,1,21,13
66 years,2779,1289,1115,73,0,0,0,65,1,21,14,1490,1264,85,1,0,0,91,0,33,16
67 years,2673,1205,1064,52,2,0,0,65,0,11,11,1468,1278,85,3,0,2,61,0,29,10
68 years,2637,1234,1069,76,1,0,0,58,0,11,19,1403,1230,78,1,0,1,52,0,26,15
69 years,2503,1191,1057,65,0,0,2,49,0,13,5,1312,1151,64,1,0,0,62,0,17,17
70 years,2479,1157,1034,44,2,0,1,52,0,12,12,1322,1157,77,0,0,0,62,2,11,13
71 years,2239,1042,906,48,1,0,0,60,0,17,10,1197,1053,67,2,0,0,52,0,12,11
72 years,2052,950,860,37,0,0,0,39,0,7,7,1102,957,63,0,0,0,56,0,18,8
73 years,1820,843,751,44,0,0,0,32,0,8,8,977,876,42,1,0,1,37,0,13,7
74 years,1760,790,714,33,1,0,0,33,0,5,4,970,857,49,0,0,0,38,0,17,9
75 years,1647,699,624,39,0,0,0,26,0,7,3,948,823,65,3,0,0,37,0,12,8
76 years,1417,642,564,27,2,0,0,31,1,10,7,775,703,41,0,0,0,19,0,7,5
77 years,1302,584,519,28,1,0,0,23,0,8,5,718,635,37,0,0,0,31,0,9,6
78 years,1289,559,495,23,0,0,1,34,0,1,5,730,657,36,0,0,0,27,0,8,2
79 years,1173,507,447,22,0,0,0,27,0,8,3,666,593,41,0,0,0,23,0,8,1
80 years,1102,460,413,18,1,0,0,20,0,8,0,642,567,23,0,0,0,28,0,8,16
81 years,1089,456,422,18,0,0,0,13,0,2,1,633,576,22,0,0,0,27,0,6,2
82 years,1015,383,355,9,0,0,0,16,0,0,3,632,560,35,1,0,0,25,0,7,4
83 years,923,395,357,17,0,0,0,15,0,3,3,528,461,31,0,0,0,23,1,6,6
84 years,787,316,281,15,2,0,0,13,0,2,3,471,431,18,0,0,1,17,0,3,1
85 years,813,320,287,14,0,0,1,13,0,3,2,493,441,28,0,0,2,12,0,4,6
86 Years (may be topcoded),794,291,262,11,0,0,0,14,0,2,2,503,477,14,1,0,0,9,0,0,2
87 Years (may be topcoded),681,236,223,5,0,0,0,5,0,3,0,445,402,13,0,0,0,16,1,3,10
88 Years (may be topcoded),607,189,182,5,0,0,0,2,0,0,0,418,388,11,0,0,0,11,0,5,3
89 Years (may be topcoded),605,201,188,6,1,0,0,4,0,1,1,404,361,21,0,0,0,11,0,8,3
90 Years (may be topcoded),445,133,124,3,0,0,0,5,0,1,0,312,296,7,0,0,0,7,0,2,0
91 Years (may be topcoded),375,103,93,4,0,0,0,5,0,1,0,272,248,11,0,0,0,7,0,3,3
92 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 Years (may be topcoded),1042,281,248,19,0,0,0,10,0,1,3,761,723,25,0,0,1,9,0,1,2
95 Years (may be topcoded),659,134,127,3,0,0,0,4,0,0,0,525,504,8,0,0,0,8,0,3,2
96 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
