"cbsa","zcta5","cbsaname15","zipname","pop10","afact"
"CBSA (current)","ZIP census tabulation area","2015 CBSA name","ZCTA name","Population (2010)","cbsa to zcta5 allocation factor"
" ","02554"," ","Nantucket, MA",9852,0.9685 
" ","02564"," ","Siasconset, MA",310,0.0305 
" ","02584"," ","Nantucket, MA",10,0.001 
"12700","02532","Barnstable Town, MA (Metro)","Buzzards Bay, MA",10723,0.0497 
"12700","02534","Barnstable Town, MA (Metro)","Cataumet, MA (PO Boxes)",842,0.0039 
"12700","02536","Barnstable Town, MA (Metro)","East Falmouth, MA",19583,0.0907 
"12700","02537","Barnstable Town, MA (Metro)","East Sandwich, MA",6293,0.0291 
"12700","02540","Barnstable Town, MA (Metro)","Falmouth, MA",8221,0.0381 
"12700","02542","Barnstable Town, MA (Metro)","Buzzards Bay, MA",1139,0.0053 
"12700","02543","Barnstable Town, MA (Metro)","Woods Hole, MA",612,0.0028 
"12700","02553","Barnstable Town, MA (Metro)","Monument Beach, MA",226,0.001 
"12700","02556","Barnstable Town, MA (Metro)","North Falmouth, MA",3115,0.0144 
"12700","02559","Barnstable Town, MA (Metro)","Pocasset, MA",3376,0.0156 
"12700","02561","Barnstable Town, MA (Metro)","Sagamore, MA",539,0.0025 
"12700","02562","Barnstable Town, MA (Metro)","Sagamore, MA",2977,0.0138 
"12700","02563","Barnstable Town, MA (Metro)","Sandwich, MA",10359,0.048 
"12700","02601","Barnstable Town, MA (Metro)","Barnstable Town, MA",14089,0.0653 
"12700","02630","Barnstable Town, MA (Metro)","Barnstable Town, MA",1850,0.0086 
"12700","02631","Barnstable Town, MA (Metro)","Brewster, MA",9679,0.0448 
"12700","02632","Barnstable Town, MA (Metro)","Barnstable Town, MA",10742,0.0498 
"12700","02633","Barnstable Town, MA (Metro)","Chatham, MA",3884,0.018 
"12700","02635","Barnstable Town, MA (Metro)","Barnstable Town, MA",3296,0.0153 
"12700","02637","Barnstable Town, MA (Metro)","Barnstable Town, MA",253,0.0012 
"12700","02638","Barnstable Town, MA (Metro)","Dennis, MA",3207,0.0149 
"12700","02639","Barnstable Town, MA (Metro)","Dennis Port, MA",2875,0.0133 
"12700","02641","Barnstable Town, MA (Metro)","East Dennis, MA",532,0.0025 
"12700","02642","Barnstable Town, MA (Metro)","Eastham, MA",4937,0.0229 
"12700","02643","Barnstable Town, MA (Metro)","East Orleans, MA (PO Boxes)",26,0.0001 
"12700","02644","Barnstable Town, MA (Metro)","Forestdale, MA",3955,0.0183 
"12700","02645","Barnstable Town, MA (Metro)","East Harwich, MA",9663,0.0448 
"12700","02646","Barnstable Town, MA (Metro)","Harwich Port, MA",1676,0.0078 
"12700","02647","Barnstable Town, MA (Metro)","Barnstable Town, MA",129,0.0006 
"12700","02648","Barnstable Town, MA (Metro)","Barnstable Town, MA",7301,0.0338 
"12700","02649","Barnstable Town, MA (Metro)","Mashpee, MA",14006,0.0649 
"12700","02650","Barnstable Town, MA (Metro)","North Chatham, MA",848,0.0039 
"12700","02651","Barnstable Town, MA (Metro)","North Eastham, MA (PO Boxes)",16,0.0001 
"12700","02652","Barnstable Town, MA (Metro)","North Truro, MA (PO Boxes)",1175,0.0054 
"12700","02653","Barnstable Town, MA (Metro)","Orleans, MA",5911,0.0274 
"12700","02655","Barnstable Town, MA (Metro)","Barnstable Town, MA",3518,0.0163 
"12700","02657","Barnstable Town, MA (Metro)","Provincetown, MA",2942,0.0136 
"12700","02659","Barnstable Town, MA (Metro)","South Chatham, MA",1108,0.0051 
"12700","02660","Barnstable Town, MA (Metro)","South Dennis, MA",6261,0.029 
"12700","02663","Barnstable Town, MA (Metro)","South Wellfleet, MA (PO Boxes)",173,0.0008 
"12700","02664","Barnstable Town, MA (Metro)","South Yarmouth, MA",9371,0.0434 
"12700","02666","Barnstable Town, MA (Metro)","Truro, MA (PO Boxes)",828,0.0038 
"12700","02667","Barnstable Town, MA (Metro)","Wellfleet, MA",2580,0.012 
"12700","02668","Barnstable Town, MA (Metro)","Barnstable Town, MA",3278,0.0152 
"12700","02669","Barnstable Town, MA (Metro)","West Chatham, MA",285,0.0013 
"12700","02670","Barnstable Town, MA (Metro)","West Dennis, MA",1307,0.0061 
"12700","02671","Barnstable Town, MA (Metro)","Northwest Harwich, MA",1023,0.0047 
"12700","02672","Barnstable Town, MA (Metro)","Barnstable Town, MA",180,0.0008 
"12700","02673","Barnstable Town, MA (Metro)","West Yarmouth, MA",8402,0.0389 
"12700","02675","Barnstable Town, MA (Metro)","Yarmouth Port, MA",6577,0.0305 
"14460","01431","Boston-Cambridge-Newton, MA-NH (Metro)","Ashby, MA",3074,0.0007 
"14460","01432","Boston-Cambridge-Newton, MA-NH (Metro)","Ayer, MA",7089,0.0017 
"14460","01434","Boston-Cambridge-Newton, MA-NH (Metro)","Devens, MA",338,0.0001 
"14460","01450","Boston-Cambridge-Newton, MA-NH (Metro)","Groton, MA",10646,0.0026 
"14460","01460","Boston-Cambridge-Newton, MA-NH (Metro)","Littleton, MA",8924,0.0022 
