cbsa,state,puma12,stab,cbsaname15,PUMAname,pop10,afact,,
CBSA (current),State code,PUMA (2012),State abbreviation,2015 CBSA name,PUMA12 name,Population (2010),cbsa to puma12 allocation factor,,
 ,25,4800,MA, ,"Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns",10172,1,,
12700,25,4700,MA,"Barnstable Town, MA (Metro)",Barnstable County (West)--Inner Cape Cod Towns & Barnstable Town City,131159,0.6075,,
12700,25,4800,MA,"Barnstable Town, MA (Metro)","Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns",84729,0.3925,,
14460,25,400,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities)",37284,0.009,,
14460,25,501,MA,"Boston-Cambridge-Newton, MA-NH (Metro)",Middlesex County (Outside Lowell City),111178,0.0269,,
14460,25,502,MA,"Boston-Cambridge-Newton, MA-NH (Metro)",Middlesex County (Far Northeast)--Lowell City,106519,0.0258,,
14460,25,503,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns",136206,0.0329,,
14460,25,504,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Middlesex County (South)--Framingham Town, Marlborough City & Natick Town",139823,0.0338,,
14460,25,505,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns",120862,0.0292,,
14460,25,506,MA,"Boston-Cambridge-Newton, MA-NH (Metro)",Middlesex County (East)--Cambridge City,105162,0.0254,,
14460,25,507,MA,"Boston-Cambridge-Newton, MA-NH (Metro)",Middlesex County (East)--Somerville & Everett Cities,117421,0.0284,,
14460,25,508,MA,"Boston-Cambridge-Newton, MA-NH (Metro)",Middlesex County (East)--Malden & Medford Cities,115623,0.028,,
14460,25,701,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities",184511,0.0446,,
14460,25,702,MA,"Boston-Cambridge-Newton, MA-NH (Metro)",Essex County (Central)--Amesbury Town City,105526,0.0255,,
14460,25,703,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities",196427,0.0475,,
14460,25,704,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Essex County (South)--Lynn City, Swampscott & Nahant Towns",107526,0.026,,
14460,25,1000,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Peabody City, Danvers, Reading, North Reading & Lynnfield Towns",128979,0.0312,,
14460,25,1300,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Billerica, Andover, Tewksbury & Wilmington Towns",124730,0.0302,,
14460,25,1400,MA,"Boston-Cambridge-Newton, MA-NH (Metro)",Middlesex (West Central) & Worcester (East) Counties,111782,0.027,,
14460,25,2400,MA,"Boston-Cambridge-Newton, MA-NH (Metro)","Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties",77732,0.0188,,
