state,puma12,zcta5,stab,zipname,PUMAname,pop10,afact
State code,PUMA (2012),ZIP census tabulation area,State abbreviation,ZCTA name,PUMA12 name,Population (2010),puma12 to zcta5 allocation factor
25,100,01029,MA,"East Otis, MA (PO Boxes)",Berkshire County--Pittsfield City,789,0.006
25,100,01201,MA,"Pittsfield, MA",Berkshire County--Pittsfield City,46504,0.3544
25,100,01220,MA,"Adams, MA",Berkshire County--Pittsfield City,8603,0.0656
25,100,01222,MA,"Ashley Falls, MA",Berkshire County--Pittsfield City,829,0.0063
25,100,01223,MA,"Becket, MA",Berkshire County--Pittsfield City,2314,0.0176
25,100,01224,MA,"Berkshire, MA",Berkshire County--Pittsfield City,182,0.0014
25,100,01225,MA,"Cheshire, MA",Berkshire County--Pittsfield City,3117,0.0238
25,100,01226,MA,"Dalton, MA",Berkshire County--Pittsfield City,6945,0.0529
25,100,01229,MA,"Glendale, MA (PO Boxes)",Berkshire County--Pittsfield City,95,0.0007
25,100,01230,MA,"Great Barrington, MA",Berkshire County--Pittsfield City,8430,0.0642
25,100,01235,MA,"Hinsdale, MA",Berkshire County--Pittsfield City,2766,0.0211
25,100,01236,MA,"Housatonic, MA",Berkshire County--Pittsfield City,1509,0.0115
25,100,01237,MA,"Lanesboro, MA",Berkshire County--Pittsfield City,2496,0.019
25,100,01238,MA,"Lee, MA",Berkshire County--Pittsfield City,6047,0.0461
25,100,01240,MA,"Lenox, MA",Berkshire County--Pittsfield City,4534,0.0346
25,100,01242,MA,"Lenox Dale, MA (PO Boxes)",Berkshire County--Pittsfield City,476,0.0036
25,100,01244,MA,"Mill River, MA (PO Boxes)",Berkshire County--Pittsfield City,151,0.0012
25,100,01245,MA,"Monterey, MA",Berkshire County--Pittsfield City,985,0.0075
25,100,01247,MA,"North Adams, MA",Berkshire County--Pittsfield City,16087,0.1226
25,100,01253,MA,"Otis, MA",Berkshire County--Pittsfield City,731,0.0056
25,100,01254,MA,"Richmond, MA",Berkshire County--Pittsfield City,972,0.0074
25,100,01255,MA,"Sandisfield, MA",Berkshire County--Pittsfield City,915,0.007
25,100,01256,MA,"Savoy, MA",Berkshire County--Pittsfield City,692,0.0053
25,100,01257,MA,"Sheffield, MA",Berkshire County--Pittsfield City,2121,0.0162
25,100,01258,MA,"South Egremont, MA",Berkshire County--Pittsfield City,374,0.0029
25,100,01259,MA,"Southfield, MA",Berkshire County--Pittsfield City,635,0.0048
25,100,01260,MA,"South Lee, MA (PO Boxes)",Berkshire County--Pittsfield City,240,0.0018
25,100,01262,MA,"Stockbridge, MA (PO Boxes)",Berkshire County--Pittsfield City,1238,0.0094
25,100,01264,MA,"Tyringham, MA",Berkshire County--Pittsfield City,137,0.001
25,100,01266,MA,"West Stockbridge, MA",Berkshire County--Pittsfield City,1463,0.0111
25,100,01267,MA,"Williamstown, MA",Berkshire County--Pittsfield City,7989,0.0609
