var13,offset_rank,flights_rank,solar_rank,ev_rank,pbd_rank,recs_rank,local_rank,bulbs_rank,fridge_rank,trees_rank,recycling_rank,pack_rank,ev_ee,ev_pnb,ev_ne,ev_intent,ev_program_interest,fly_ee,fly_pnb,fly_ne,fly_intent,fly_program_interest,offset_ee,offset_pnb,offset_ne,offset_intent,offset_program_interest,pbd_ee,pbd_pnb,pbd_ne,pbd_intent,pbd_program_interest,recs_ee,recs_pnb,recs_ne,recs_intent,recs_program_interest,solar_ee,solar_pnb,solar_ne,solar_intent,solar_program_interest,foodwaste_ee,foodwaste_pnb,foodwaste_ne,foodwaste_intent,foodwaste_program_interest
6064bc13-0c18-cee5-a411-d29124d26151,3,1,11,7,10,12,5,6,8,4,9,2,0.5,1,0.3,0.5,0.4,0.4,0,0.5,0.4,0.4,0.5,0,0.5,0.5,0.4,0.6,0,0.5,0.4,0.5,0.5,0,0.4,0.4,0.5,0.6,0,0.4,0.5,0.4,0.5,0,0.4,0.4,0.5
6064be5f-1090-8b6b-c05d-1c8e4d391739,11,12,1,4,9,5,6,7,10,8,2,3,0.2,0,0.4,0,0,0.5,0,0.5,0.1,0.1,0.4,0,0.5,0,0,0.4,0,0.4,0.1,0,0.3,0,0.3,0.1,0,0.5,0,0.3,1,1,0.6,1,0.6,1,0.8
6064c953-0739-5303-f699-ea892c234843,9,12,10,4,11,2,3,8,1,7,5,6,0.2,0,0.3,0,0,0.5,0,0.4,0,0,0.1,0,0.2,0,0,0.4,0,0.5,0.1,0,1,0,0.5,0.2,0,0.8,0,0.5,0,0,1,0,1,0.9,0.2
6064cceb-3f80-3b4f-09e6-c8f5f3283dba,2,9,1,4,12,3,7,6,10,8,5,11,0.1,1,0.7,0.8,0.6,0,0,0.3,0,0,0.1,0,0.3,0,0,0.3,0,0.4,0,0,0.3,1,0.6,0.6,0.6,0.3,0,0.3,0,0,0.9,1,0.8,1,0
6065d8c0-4333-d9b3-519d-1afb476ea440,8,7,9,11,12,2,5,4,3,10,1,6,0.1,1,0.8,0.5,0.5,0,1,0.1,0.1,0,0,1,0,0,0,0.4,1,0.6,0.4,0,0.2,1,0.5,0.5,0.1,0.2,1,0,0,0,0.7,1,0.8,0.4,0
6065dbf5-61f9-a6c0-14ff-8f0859b67536,3,10,2,6,11,8,4,9,5,12,1,7,0.2,0,0.2,0,0.1,0.7,1,0.6,0.9,0.5,0.3,0,0.3,0.1,0.1,0.5,0,0.4,0.1,0,0.3,0,0.4,0.1,0.4,0.3,1,0.2,0.2,0.5,0.5,1,0.7,0.9,0.5
6065eae1-921d-495b-cb06-5ffc02d04129,8,6,1,2,10,3,9,7,12,5,4,11,0.1,1,0.8,1,0,1,1,0.9,1,1,0,0,0,0,0,0.2,0,0.1,0.8,0,0.1,1,0.2,0,0.8,0.1,1,0.1,0,0.5,0.1,1,0.2,0.5,0.4
6065ec0f-ea67-64be-20f9-7074b4093e12,7,11,4,1,9,2,12,5,6,8,3,10,0.1,1,0.4,0.5,0.3,0.5,1,0.2,0.8,0.4,0.2,1,0.3,0.4,0.4,0.5,0,0.5,0.4,0.2,0.4,1,0.5,0.3,0.3,0.3,1,0.3,0.2,0.2,0.5,1,0.3,0.4,0.2
6065ec33-8410-9373-4af1-8e549e03c113,1,9,2,4,11,3,10,7,8,12,5,6,0.2,0,0.6,0.2,0.1,0.5,1,0.7,0.7,0,0,0,0.5,0.1,0.2,0.7,0,0.6,0.5,0.3,0.4,1,0.6,0.1,0.4,0.6,1,1,0.1,0,0,1,1,0.4,0.7
6065ecc6-87ed-3a5f-b4ff-9b5333fe68cb,5,11,2,8,7,6,10,4,9,3,1,12,0,0,0.3,0.6,0.6,0.9,0,0.1,0.1,0,0.1,1,0.1,0.5,0.5,0.2,1,0.2,0.5,0.5,0.1,1,0.2,0.5,0.5,0.1,1,0.2,0,0.1,0.3,1,0.3,1,0.7
