Response ID,PID,MID,RespondentSID,Survey Number,SurveyName,SupplierName,IsLive,EntryDate,LastDate,FulcrumStatus,ClientStatus,ResponseStatus,AGE(1),GENDER(9),HISPANIC(3),ETHNICITY(8),ZIP(2),REGION(6),Ethnicity - Detailed(7),STATE(4)
6066921F-4861-2D95-12C5-E9DC6857E4CD,"22508507",1360975349,4718165f-db85-4924-9f9b-4582d5a87655,10307266,"MIP - Boston","MyPoints",True,4/1/2021 10:39:25 PM,4/1/2021 10:40:10 PM,3,1,In Screener / Drop,68,2,,1,01746,,,22
60668BA1-ACF6-EF03-9B90-6324A9B8A2F3,"18382400",4414b54c936111ebb45806355a00b3a0,39fc1524-684b-4f65-9c1f-60b900947370,10307266,"MIP - Boston","DISQO",True,4/1/2021 10:12:34 PM,4/1/2021 10:12:57 PM,3,20,Term,48,1,,1,01913,,,22
60667534-9D92-518B-3C2B-861CDF109544,"19536573",c16b4f46935311eba8d702cb67736f64,3d2d03fa-426f-4f32-8b70-fb5d131f81e8,10307266,"MIP - Boston","DISQO",True,4/1/2021 8:36:03 PM,4/1/2021 8:36:39 PM,3,1,In Screener / Drop,18,2,,10,01852,,,22
606615B4-AA38-C2D7-C049-72A8927670E0,"20066398",dd1fb256931a11ebafa5024938142431,f3b47b8f-6b8a-4e46-be68-43f77af8fefa,10307266,"MIP - Boston","DISQO",True,4/1/2021 1:48:45 PM,4/1/2021 2:01:02 PM,3,10,Complete,74,2,,1,02043,,,22
6066725A-413F-190E-8A2D-BFD152606441,"20153696",376cf9e4935211eb951f06361590b4ea,d3359b15-0956-44a2-b08f-17b040136d9e,10307266,"MIP - Boston","DISQO",True,4/1/2021 8:24:50 PM,4/1/2021 8:33:23 PM,3,10,Complete,42,2,,1,02333,,,22
60666AC6-7CA3-2D5A-F4CF-FD3F63900658,"a72d110d-db69-47d1-8fa0-4fb3f371875e",KJ355IPJH4-4af7f4,f1ad2986-8f59-4bd8-895b-e650769990af,10307266,"MIP - Boston","Publishers Clearing House",True,4/1/2021 7:52:32 PM,4/1/2021 7:52:56 PM,23,-1,Demographic Termination,66,,,,68116,,,
60660D03-A9A8-3F3F-89B4-80565D6D2150,"20111291",cbf71320931511ebb867064ae673b908,cc6931ac-f6b6-43f2-908f-68345ece0efc,10307266,"MIP - Boston","DISQO",True,4/1/2021 1:12:20 PM,4/1/2021 1:19:12 PM,3,10,Complete,59,2,,1,02453,,,22
604A906C-4C43-43E8-7320-58AB5F1C1C17,"test",,51c2e035-1a55-46a9-82d4-d10fec51dcf0,10307266,"MIP - Boston","Z - Test Supplier",False,3/11/2021 3:49:08 PM,3/11/2021 3:49:17 PM,23,-1,Demographic Termination,33,2,,15,,,,
6057FFF9-6F81-94E6-EE1B-30D739A0B825,"test",,d2645f97-0ef3-4d74-8161-bb817afb54b1,10307266,"MIP - Boston","Z - Test Supplier",False,3/21/2021 9:25:50 PM,3/21/2021 9:26:48 PM,3,1,In Screener / Drop,32,1,,2,01460,,,22
6058FA02-2D22-92AC-FC46-B26FF6DAE4F6,"test",,598277cd-d7ad-41a0-9c3b-72576fd32abb,10307266,"MIP - Boston","Z - Test Supplier",False,3/22/2021 3:11:46 PM,3/22/2021 3:12:22 PM,23,-1,Demographic Termination,90,,,16,02109,,,22
6058FA64-77C4-3653-6B24-DD1A9A7B901A,"test",,b638c2be-3414-4bf9-a60e-563e4efa2985,10307266,"MIP - Boston","Z - Test Supplier",False,3/22/2021 3:12:45 PM,3/22/2021 3:12:53 PM,23,-1,Demographic Termination,22,,,,19801,,,
6058FA75-064D-E9AD-B675-17EECFF22C99,"test",,1c5b7ec9-ee91-4c5d-ba4d-14d02284d3dd,10307266,"MIP - Boston","Z - Test Supplier",False,3/22/2021 3:13:02 PM,3/22/2021 3:13:16 PM,3,1,In Screener / Drop,33,1,,9,02150,,,22
6058FBBE-2A3C-2E03-9CA7-B9F5F7C93EB5,"rakhimtest1",,506f7bac-eb45-47ec-961c-67a2164cf6db,10307266,"MIP - Boston","Z - Test Supplier",False,3/22/2021 3:18:46 PM,3/22/2021 3:19:13 PM,3,1,In Screener / Drop,88,1,,15,02770,,,22
6066120E-2362-6C10-1BE4-12912EBF3B53,"056a0cc35c9d656c72014fb579bf5380b5fc31c5c8f9fb559075d4cb20c19d29",Ml8xLjAwXzQwX184XzA,ea081ec3-021e-49ca-9534-947c9b60c562,10307266,"MIP - Boston","inBrain.ai - API",True,4/1/2021 1:33:58 PM,4/1/2021 1:34:12 PM,32,-1,Security,29,1,,1,02188,,,22
6066E034-BEF3-A248-C918-B1445086A3A5,"14617299",acdc66b0939311ebaecd0233f539b3fc,0336c8f2-e4b0-41fc-9765-1794e3d28a95,10307266,"MIP - Boston","DISQO",True,4/2/2021 4:13:33 AM,4/2/2021 4:26:43 AM,3,10,Complete,66,2,,1,01879,,,22
6066D406-BEED-AF29-E4A9-6C0546BD933F,"94407035",1361097315,7972b523-f877-475d-96ad-ee890b1aa716,10307266,"MIP - Boston","MyPoints",True,4/2/2021 3:20:35 AM,4/2/2021 3:28:35 AM,3,10,Complete,62,2,,1,01887,,,22
604A7D7D-1B2E-79C0-9FC1-12A5B38C2841,"test",,e2937c93-3680-48b7-923c-16af0dd6c69b,10307266,"MIP - Boston","Z - Test Supplier",False,3/11/2021 2:28:39 PM,3/11/2021 2:29:18 PM,23,-1,Demographic Termination,17,,,,,,
604A7D94-7D3E-56C4-01E4-E91073DA9DAF,"test",,e050cc4f-88b5-4c09-9a33-6c1155cfa7b7,10307266,"MIP - Boston","Z - Test Supplier",False,3/11/2021 2:29:02 PM,3/11/2021 2:28:52 PM,23,-1,Demographic Termination,26,1,,3,,,
604A7DBD-EA02-753C-1637-3E5FEE53CA15,"test",,9fb71344-690b-4296-b2b4-8b16f41d385e,10307266,"MIP - Boston","Z - Test Supplier",False,3/11/2021 2:29:44 PM,3/11/2021 2:30:04 PM,23,-1,Demographic Termination,26,1,,11,,,
604A7DBC-3CAF-9E31-345D-6567AFEA60D2,"test",,3a4e4fbe-bcd4-4910-a5dc-6a23ee019ea1,10307266,"MIP - Boston","Z - Test Supplier",False,3/11/2021 2:30:12 PM,3/11/2021 2:30:07 PM,23,-1,Demographic Termination,32,2,,16,,,
604A9013-C234-3D34-3BB2-84F90E053BA5,"test",,83ebb847-da1e-45b5-babd-9bb736ed036f,10307266,"MIP - Boston","Z - Test Supplier",False,3/11/2021 3:47:58 PM,3/11/2021 3:48:39 PM,23,-1,Demographic Termination,33,2,,13,,,,
604A9040-CADA-76DC-7C7E-756739F7134D,"test",,053febce-d2ae-42e1-8c5f-896ffa920ef2,10307266,"MIP - Boston","Z - Test Supplier",False,3/11/2021 3:48:23 PM,3/11/2021 3:48:32 PM,23,-1,Demographic Termination,23,1,,16,,,,
604A9027-1970-3A2F-8900-4375F3F1A56F,"test",,0c2f1c67-b25a-499a-a67c-00b6e438c7ec,10307266,"MIP - Boston","Z - Test Supplier",False,3/11/2021 3:48:47 PM,3/11/2021 3:48:19 PM,23,-1,Demographic Termination,33,2,,3,,,,
6066BDFE-9608-EE36-E494-D09158DE55C0,"6511299",33219369m670ad32e9a7f9d79051d95d280e,6d1cfa6d-c8d0-4cf1-af67-1710c1bbcd79,10307266,"MIP - Boston","Branded Research",True,4/2/2021 1:46:37 AM,4/2/2021 1:58:22 AM,3,10,Complete,82,1,,1,01826,,,22
6066B131-E96B-C7C9-C0BD-623E541B8652,"19451481",abf215cc937711eb9a7c069f9c9f4b3a,48f74e99-7961-4155-8b0c-c054457ca235,10307266,"MIP - Boston","DISQO",True,4/2/2021 12:52:58 AM,4/2/2021 12:58:16 AM,3,10,Complete,29,2,,10,02115,,,22
6066CCA5-CA59-9973-D101-0239BB893842,"d206559e-9f5e-4870-8096-9fca2bbaa716",session::tapjoy::ffa36ccc-1188-4d42-829a-8d180b03aea7,d73a7d18-86f5-499b-8465-8763b6d0af7c,10307266,"MIP - Boston","TapJoy - API",True,4/2/2021 2:49:18 AM,4/2/2021 2:56:35 AM,3,10,Complete,19,2,,1,02148,,,22
6066D3D1-C6C5-10DB-5EB2-14967D014D4F,"14403273",4651723e938c11eb8bf2027cdce6fce3,913afa04-7f55-4b39-93b7-2c9cd2b1409a,10307266,"MIP - Boston","DISQO",True,4/2/2021 3:20:34 AM,4/2/2021 3:21:03 AM,32,-1,Security,20,1,,1,02360,,,22
6066DA1F-69E5-9EF2-AE19-1B35E0CF817E,"ce9b592bf54073ab8101a66d9a2d2a7ab826e0eb5020bcfc6f6bc2770ad235d0",Ml8xLjAwXzQwX18xMF8w,81340b66-f43d-4a2f-93b3-37b26e4ffefb,10307266,"MIP - Boston","inBrain.ai - API",True,4/2/2021 3:47:36 AM,4/2/2021 3:48:16 AM,3,1,In Screener / Drop,33,1,,15,01854,,,22
6066DBF2-84C5-FD74-17D9-81978530671E,"255333b98635587bfc1963732db763188b7dfa45dff58ce3724c4790fcae6fbc",MTIwXzEuMDBfNDAwX18xMF8w,65aaa294-2820-4462-8e43-38080552dbfc,10307266,"MIP - Boston","inBrain.ai - API",True,4/2/2021 3:55:15 AM,4/2/2021 4:57:59 AM,3,10,Complete,32,2,,1,02118,,,22
6066DED8-3841-0F58-9F59-9469817C9761,"5e9e16bfdfed9b237fb27c1c2890c1fad53096271fefd2d9b088a52c5340eb0d",OV8xLjAwXzMzM19fMTBfMA,cac583df-a4c3-4ff8-9d2d-51291f14a25d,10307266,"MIP - Boston","inBrain.ai - API",True,4/2/2021 4:07:46 AM,4/2/2021 4:08:51 AM,3,1,In Screener / Drop,41,1,,1,02110,,,22
